OBJECTID,Taxlot,RMV_Land,RMV_Impr,RMV_Total,AV_Total,Property Address,Short Legal Description,Property Size,Property Additional Info,Name,Address,"City, State, Zipcode",City,State,Zipcode
6776,1510000001000,319940,0,319940,0,,,,,SKIPPED,,,,,
6777,1510000001400,3646700,0,3646700,0,,,,,SKIPPED,,,,,
7229,151004CB00800,179380,0,179380,70740,,,,,SKIPPED,,,,,
7437,151004CD02900,449600,0,449600,231450,,,,,SKIPPED,,,,,
7805,1510050000100,2455800,0,2455800,0,,,,,SKIPPED,,,,,
7809,1510050000900,867490,0,867490,84520,,,,,SKIPPED,,,,,
7812,1510050001202,565570,0,565570,206110,,,,,SKIPPED,,,,,
7814,1510050001205,1780,0,1780,1430,,,,,SKIPPED,,,,,
8045,151005CD00200,138820,0,138820,73970,,,,,SKIPPED,,,,,
8195,1510080000500,149670,0,149670,0,,,,,SKIPPED,,,,,
8198,1510080000707,466690,0,466690,14475,,,,,SKIPPED,,,,,
8485,1510090001000,581620,0,581620,0,,,,,SKIPPED,,,,,
8548,151009AA00901,1550,0,1550,1550,,,,,SKIPPED,,,,,
9260,1510110001100,5750,0,5750,1480,,,,,SKIPPED,,,,,
9261,1510110001200,1156160,0,1156160,14524,,,,,SKIPPED,,,,,
9265,1510110001301,190490,0,190490,111130,,,,,SKIPPED,,,,,
9293,1510130000702,432270,0,432270,29467,,,,,SKIPPED,,,,,
9381,151021B000100,104960,0,104960,685,,,,,SKIPPED,,,,,
9551,1511000000502,877460,0,877460,0,,,,,SKIPPED,,,,,
9555,1511000000800,403750,0,403750,0,,,,,SKIPPED,,,,,
9564,1511000002500,2624330,0,2624330,0,,,,,SKIPPED,,,,,
9690,1511180000099,13320,0,13320,10640,,,,,SKIPPED,,,,,
10248,1512000000100,1241690,0,1241690,0,,,,,SKIPPED,,,,,
10272,1512000007700,860490,0,860490,546330,,,,,SKIPPED,,,,,
10410,151203C001500,220000,0,220000,118360,,,,,SKIPPED,,,,,
10556,151211A000100,585460,0,585460,0,,,,,SKIPPED,,,,,
10625,151211D001100,263820,0,263820,0,,,,,SKIPPED,,,,,
10628,151211D001300,19850,0,19850,0,,,,,SKIPPED,,,,,
10634,1512120000100,828370,0,828370,0,,,,,SKIPPED,,,,,
10814,151214A000900,53040,0,53040,0,,,,,SKIPPED,,,,,
10818,151214A001000,377780,0,377780,0,,,,,SKIPPED,,,,,
12612,1512220000100,2206800,0,2206800,0,,,,,SKIPPED,,,,,
13559,1512270000300,1677870,0,1677870,0,,,,,SKIPPED,,,,,
13635,151236B003700,255050,0,255050,147720,,,,,SKIPPED,,,,,
13639,151236B004000,585210,0,585210,167200,,,,,SKIPPED,,,,,
13641,151236B004200,540520,0,540520,188060,,,,,SKIPPED,,,,,
13756,1513000000103,7670750,0,7670750,0,,,,,SKIPPED,,,,,
13758,1513000000113,558160,0,558160,0,,,,,SKIPPED,,,,,
13759,1513000000115,1143670,0,1143670,0,,,,,SKIPPED,,,,,
13764,1513000001503,8902950,0,8902950,0,,,,,SKIPPED,,,,,
14241,151303CB03400,65000,0,65000,36340,,,,,SKIPPED,,,,,
14453,151304AA00500,545690,0,545690,44930,,,,,SKIPPED,,,,,
15422,151304DC00400,405360,0,405360,79250,,,,,SKIPPED,,,,,
